id,name,brand,category,editorialStatus,qualityLevel,sourceCoverage,officialProductPage,officialSourceType,sourceCount,lastVerified,currentStatus,actualUse,priority5,claimRisk,severity,missingFields,nextAction,internalLinks,columnLinks,ranking,priorityScore,priorityReason
11,Torriden ダイブイン 低分子ヒアルロン酸トナー,Torriden,化粧水,editorial,D,insufficient,,,0,,status_unknown,false,false,product_specific_source_missing | ingredient_tag_not_officially_verified,Low,product_specific_official_page | manufacturer_category | content_amount | usage | verified_ingredients | current_status,商品専用メーカー公式ページを調査し、商品状態・仕様・成分タグを確認,23,6,true,55,ランキング導線あり・コラムリンク6件・内部リンク23件・編集部参考指標4.6以上
12,ちふれ 化粧水 とてもしっとりタイプ,ちふれ,化粧水,editorial,D,insufficient,,,0,,status_unknown,false,false,product_specific_source_missing | ingredient_tag_not_officially_verified,Low,product_specific_official_page | manufacturer_category | content_amount | usage | verified_ingredients | current_status,商品専用メーカー公式ページを調査し、商品状態・仕様・成分タグを確認,9,0,true,21,ランキング導線あり・内部リンク9件
13,オルビス クリアフル ローション M,オルビス,化粧水,editorial,D,insufficient,,,0,,status_unknown,false,false,product_specific_source_missing | ingredient_tag_not_officially_verified,Low,product_specific_official_page | manufacturer_category | content_amount | usage | verified_ingredients | current_status,商品専用メーカー公式ページを調査し、商品状態・仕様・成分タグを確認,10,0,false,10,内部リンク10件
14,SK-II フェイシャルトリートメントクリアローション,SK-II,化粧水,editorial,D,insufficient,,,0,,status_unknown,false,false,product_specific_source_missing | ingredient_tag_not_officially_verified,Low,product_specific_official_page | manufacturer_category | content_amount | usage | verified_ingredients | current_status,商品専用メーカー公式ページを調査し、商品状態・仕様・成分タグを確認,13,3,true,40,ランキング導線あり・コラムリンク3件・内部リンク13件・編集部参考指標4.6以上
15,VT シカ マイルドトナー,VT Cosmetics,化粧水,editorial,D,insufficient,,,0,,status_unknown,false,false,product_specific_source_missing | ingredient_tag_not_officially_verified,Low,product_specific_official_page | manufacturer_category | content_amount | usage | verified_ingredients | current_status,商品専用メーカー公式ページを調査し、商品状態・仕様・成分タグを確認,11,2,false,19,コラムリンク2件・内部リンク11件
16,d プログラム バランスケア ローション MB,資生堂,化粧水,editorial,D,insufficient,,,0,,status_unknown,false,false,product_specific_source_missing | ingredient_tag_not_officially_verified,Low,product_specific_official_page | manufacturer_category | content_amount | usage | verified_ingredients | current_status,商品専用メーカー公式ページを調査し、商品状態・仕様・成分タグを確認,9,0,true,21,ランキング導線あり・内部リンク9件
17,ハダラボ 白潤プレミアム 薬用浸透美白化粧水,ロート製薬,化粧水,editorial,A,complete,https://www.shop.rohto.co.jp/category/skincare/hadalabo/shirojyun-premium/168446.html,official-product,1,2026-08-10,current,false,true,none,Low,usage,不足項目を公式情報で確認: usage,10,2,true,30,ランキング導線あり・コラムリンク2件・内部リンク10件
18,KOSE 米肌 肌潤化粧水,コーセー,化粧水,editorial,D,insufficient,,,0,,status_unknown,false,false,product_specific_source_missing | ingredient_tag_not_officially_verified,Low,product_specific_official_page | manufacturer_category | content_amount | usage | verified_ingredients | current_status,商品専用メーカー公式ページを調査し、商品状態・仕様・成分タグを確認,10,0,true,25,ランキング導線あり・内部リンク10件・編集部参考指標4.6以上
19,DEW ローション コンセントレート,カネボウ,化粧水,editorial,B,mostly_complete,,official-successor,1,2026-08-10,legacy,false,true,ingredient_tag_not_officially_verified,Low,product_specific_official_page | verified_ingredients,掲載世代と現行品の対応を再確認し、旧製品案内を維持,7,0,false,7,内部リンク7件
20,ロクシタン イモーテル プレシューズエッセンスフェース,ロクシタン,化粧水,editorial,D,insufficient,,,0,,status_unknown,false,false,product_specific_source_missing | ingredient_tag_not_officially_verified,Low,product_specific_official_page | manufacturer_category | content_amount | usage | verified_ingredients | current_status,商品専用メーカー公式ページを調査し、商品状態・仕様・成分タグを確認,7,0,false,7,内部リンク7件
21,SK-II フェイシャルトリートメントエッセンス,SK-II,美容液,editorial,D,insufficient,,,0,,status_unknown,false,false,product_specific_source_missing | ingredient_tag_not_officially_verified,Low,product_specific_official_page | manufacturer_category | content_amount | usage | verified_ingredients | current_status,商品専用メーカー公式ページを調査し、商品状態・仕様・成分タグを確認,68,2,true,43,ランキング導線あり・コラムリンク2件・内部リンク68件・編集部参考指標4.6以上
22,Anua PDRN ヒアルロン酸カプセル100セラム,Anua,美容液,editorial,A,complete,https://anuashop.jp/products/side0011,official-product,1,2026-08-10,current,false,true,none,Low,,定期的に公式URLと商品状態を再確認,72,4,true,51,ランキング導線あり・コラムリンク4件・内部リンク72件・編集部参考指標4.6以上
23,メディキューブ PDRN ピンクアンプル,MEDICUBE,美容液,editorial,A,complete,https://themedicube.jp/products/pdrn-pinkpeptideserum | https://medicube.us/products/rose-pdrn-pink-peptide-serum,official-product,2,2026-08-10,current,false,true,none,Low,usage,不足項目を公式情報で確認: usage,12,2,true,35,ランキング導線あり・コラムリンク2件・内部リンク12件・編集部参考指標4.6以上
24,オバジ C25セラム ネオ,ロート製薬,美容液,editorial,A,complete,https://www.shop.rohto.co.jp/category/skincare/obagi/obagi-c/199891.html,official-product,1,2026-08-10,current,false,true,none,Low,usage,不足項目を公式情報で確認: usage,19,7,true,54,ランキング導線あり・コラムリンク7件・内部リンク19件・編集部参考指標4.6以上
25,COSRX アドバンス スネイル 96 ムチンパワーエッセンス,COSRX,美容液,editorial,D,insufficient,,,0,,status_unknown,false,false,product_specific_source_missing | ingredient_tag_not_officially_verified,Low,product_specific_official_page | manufacturer_category | content_amount | usage | verified_ingredients | current_status,商品専用メーカー公式ページを調査し、商品状態・仕様・成分タグを確認,16,4,true,47,ランキング導線あり・コラムリンク4件・内部リンク16件・編集部参考指標4.6以上
26,Beauty of Joseon グロウセラム 米+アルブチン,Beauty of Joseon,美容液,editorial,D,insufficient,,,0,,status_unknown,false,false,product_specific_source_missing | ingredient_tag_not_officially_verified,Low,product_specific_official_page | manufacturer_category | content_amount | usage | verified_ingredients | current_status,商品専用メーカー公式ページを調査し、商品状態・仕様・成分タグを確認,11,0,false,14,内部リンク11件・編集部参考指標4.6以上
27,資生堂 アルティミューン パワライジングコンセントレート III,資生堂,美容液,editorial,D,insufficient,,,0,,status_unknown,false,false,product_specific_source_missing | ingredient_tag_not_officially_verified,Low,product_specific_official_page | manufacturer_category | content_amount | usage | verified_ingredients | current_status,商品専用メーカー公式ページを調査し、商品状態・仕様・成分タグを確認,66,2,true,43,ランキング導線あり・コラムリンク2件・内部リンク66件・編集部参考指標4.6以上
28,メラノCC 薬用しみ集中対策 美容液,ロート製薬,美容液,editorial,A,complete,https://jp.rohto.com/melanocc/essence/,official-product | official-brand,2,2026-08-10,current,true,true,none,Low,,定期的に公式URLと商品状態を再確認,20,9,false,56,コラムリンク9件・内部リンク20件・編集部実使用商品
29,Torriden ダイブイン セラム,Torriden,美容液,editorial,D,insufficient,,,0,,status_unknown,false,false,product_specific_source_missing | ingredient_tag_not_officially_verified,Low,product_specific_official_page | manufacturer_category | content_amount | usage | verified_ingredients | current_status,商品専用メーカー公式ページを調査し、商品状態・仕様・成分タグを確認,12,1,false,16,コラムリンク1件・内部リンク12件
30,イニスフリー ブラックティー ユースセラム,イニスフリー,美容液,editorial,A,complete,https://www.innisfree.jp/products/black-tea-youth-serum-1566,official-product,1,2026-08-10,current,false,true,none,Low,content_amount,不足項目を公式情報で確認: content_amount,7,0,false,7,内部リンク7件
31,VINTORTE アクアハイドロセラム,ヴァントルテ,美容液,editorial,D,insufficient,,,0,,status_unknown,false,false,product_specific_source_missing | ingredient_tag_not_officially_verified,Low,product_specific_official_page | manufacturer_category | content_amount | usage | verified_ingredients | current_status,商品専用メーカー公式ページを調査し、商品状態・仕様・成分タグを確認,8,1,false,12,コラムリンク1件・内部リンク8件
32,ロート製薬 Obagi C10セラム,ロート製薬,美容液,editorial,D,insufficient,,,0,,status_unknown,false,false,product_specific_source_missing | ingredient_tag_not_officially_verified,Low,product_specific_official_page | manufacturer_category | content_amount | usage | verified_ingredients | current_status,商品専用メーカー公式ページを調査し、商品状態・仕様・成分タグを確認,15,2,false,23,コラムリンク2件・内部リンク15件
33,Torriden バランスフル シカ セラム,Torriden,美容液,editorial,D,insufficient,,,0,,status_unknown,false,false,product_specific_source_missing | ingredient_tag_not_officially_verified,Low,product_specific_official_page | manufacturer_category | content_amount | usage | verified_ingredients | current_status,商品専用メーカー公式ページを調査し、商品状態・仕様・成分タグを確認,10,3,false,22,コラムリンク3件・内部リンク10件
34,ELIXIR エンリッチド リンクルクリーム S,資生堂,美容液,editorial,D,insufficient,,,0,,status_unknown,false,false,product_specific_source_missing | ingredient_tag_not_officially_verified,Low,product_specific_official_page | manufacturer_category | content_amount | usage | verified_ingredients | current_status,商品専用メーカー公式ページを調査し、商品状態・仕様・成分タグを確認,18,6,true,53,ランキング導線あり・コラムリンク6件・内部リンク18件・編集部参考指標4.6以上
35,ドクターシーラボ VC100エッセンスローションEX,ドクターシーラボ,美容液,editorial,D,insufficient,,,0,,status_unknown,false,false,product_specific_source_missing | ingredient_tag_not_officially_verified,Low,product_specific_official_page | manufacturer_category | content_amount | usage | verified_ingredients | current_status,商品専用メーカー公式ページを調査し、商品状態・仕様・成分タグを確認,11,2,false,19,コラムリンク2件・内部リンク11件
36,NUMBUZIN 3番 すべすべキメケアセラム,numbuzin,美容液,editorial,A,complete,https://numbuzin.jp/product/3%E7%95%AA-%E3%81%99%E3%81%B9%E3%81%99%E3%81%B9%E3%82%AD%E3%83%A1%E3%82%B1%E3%82%A2%E3%82%BB%E3%83%A9%E3%83%A0/20/,official-product,1,2026-08-10,current,false,true,ingredient_tag_not_officially_verified,Low,usage | verified_ingredients,"不足項目を公式情報で確認: usage, verified_ingredients",16,5,false,36,コラムリンク5件・内部リンク16件
37,ニベアクリーム 大缶,ニベア,保湿クリーム,editorial,A,complete,https://www.nivea.co.jp/products/nivea-japan/all-purpose-creams/%E3%83%8B%E3%83%99%E3%82%A2%E3%82%AF%E3%83%AA%E3%83%BC%E3%83%A0-%E5%A4%A7%E7%BC%B6,official-product | official-brand,2,2026-08-10,current,false,true,none,Low,,定期的に公式URLと商品状態を再確認,9,2,false,17,コラムリンク2件・内部リンク9件
38,クレ・ド・ポー ボーテ ラ クレームN,資生堂,保湿クリーム,editorial,B,mostly_complete,,official-successor,1,2026-08-10,status_unknown,false,true,none,Low,product_specific_official_page | current_status,"不足項目を公式情報で確認: product_specific_official_page, current_status",53,2,true,43,ランキング導線あり・コラムリンク2件・内部リンク53件・編集部参考指標4.6以上
39,AESTURA アトバリア365 クリーム,AESTURA,保湿クリーム,editorial,A,complete,https://jp.aestura.com/products/atobarrier365-cream | https://int.aestura.com/products/atobarrier365-cream,official-product,2,2026-08-10,current,false,true,none,Low,usage,不足項目を公式情報で確認: usage,54,0,true,35,ランキング導線あり・内部リンク54件・編集部参考指標4.6以上
40,キュレル 潤浸保湿フェイスクリーム,キュレル,保湿クリーム,editorial,A,complete,https://www.kao-kirei.com/ja/item/kbb/curel/4901301423221/,official-product | official-brand,2,2026-08-10,current,false,true,none,Low,,定期的に公式URLと商品状態を再確認,9,0,false,9,内部リンク9件
41,CeraVe 保湿クリーム,CeraVe,保湿クリーム,editorial,D,insufficient,,,0,,status_unknown,false,false,product_specific_source_missing | ingredient_tag_not_officially_verified,Low,product_specific_official_page | manufacturer_category | content_amount | usage | verified_ingredients | current_status,商品専用メーカー公式ページを調査し、商品状態・仕様・成分タグを確認,11,3,false,23,コラムリンク3件・内部リンク11件
42,キュレル エイジングケアシリーズ クリーム,キュレル,保湿クリーム,editorial,D,insufficient,,,0,,status_unknown,false,false,product_specific_source_missing | ingredient_tag_not_officially_verified,Low,product_specific_official_page | manufacturer_category | content_amount | usage | verified_ingredients | current_status,商品専用メーカー公式ページを調査し、商品状態・仕様・成分タグを確認,12,1,false,16,コラムリンク1件・内部リンク12件
43,Glow Recipe ウォーターメロングロウ モイストクリーム,Glow Recipe,保湿クリーム,editorial,D,insufficient,,,0,,status_unknown,false,false,product_specific_source_missing | ingredient_tag_not_officially_verified,Low,product_specific_official_page | manufacturer_category | content_amount | usage | verified_ingredients | current_status,商品専用メーカー公式ページを調査し、商品状態・仕様・成分タグを確認,7,0,false,7,内部リンク7件
44,ラロッシュポゼ トレリアン ウルトラ,ラロッシュポゼ,保湿クリーム,editorial,D,insufficient,,,0,,status_unknown,false,false,product_specific_source_missing | ingredient_tag_not_officially_verified,Low,product_specific_official_page | manufacturer_category | content_amount | usage | verified_ingredients | current_status,商品専用メーカー公式ページを調査し、商品状態・仕様・成分タグを確認,7,0,false,10,内部リンク7件・編集部参考指標4.6以上
45,ETUDE スンジョン センシティブクリーム,ETUDE,保湿クリーム,editorial,D,insufficient,,,0,,status_unknown,false,false,product_specific_source_missing | ingredient_tag_not_officially_verified,Low,product_specific_official_page | manufacturer_category | content_amount | usage | verified_ingredients | current_status,商品専用メーカー公式ページを調査し、商品状態・仕様・成分タグを確認,8,0,false,8,内部リンク8件
46,HABA スクワランクリーム,HABA,保湿クリーム,editorial,D,insufficient,,,0,,status_unknown,false,false,product_specific_source_missing | ingredient_tag_not_officially_verified,Low,product_specific_official_page | manufacturer_category | content_amount | usage | verified_ingredients | current_status,商品専用メーカー公式ページを調査し、商品状態・仕様・成分タグを確認,8,0,false,8,内部リンク8件
47,ロクシタン シア フェースクリーム,ロクシタン,保湿クリーム,editorial,D,insufficient,,,0,,status_unknown,false,false,product_specific_source_missing | ingredient_tag_not_officially_verified,Low,product_specific_official_page | manufacturer_category | content_amount | usage | verified_ingredients | current_status,商品専用メーカー公式ページを調査し、商品状態・仕様・成分タグを確認,9,0,false,9,内部リンク9件
48,ラロッシュポゼ エファクラー モウスW,ラロッシュポゼ,洗顔,editorial,D,insufficient,,,0,,status_unknown,false,false,product_specific_source_missing | ingredient_tag_not_officially_verified,Low,product_specific_official_page | manufacturer_category | content_amount | usage | verified_ingredients | current_status,商品専用メーカー公式ページを調査し、商品状態・仕様・成分タグを確認,13,2,true,36,ランキング導線あり・コラムリンク2件・内部リンク13件・編集部参考指標4.6以上
49,ファンケル マイルドクレンジングオイル,ファンケル,洗顔,editorial,A,complete,https://www.fancl.co.jp/beauty/micle/index.html?scid=Mai-Aut-D_625_01,official-product,1,2026-08-10,current,false,true,ingredient_tag_not_officially_verified,Low,verified_ingredients,不足項目を公式情報で確認: verified_ingredients,11,0,true,26,ランキング導線あり・内部リンク11件・編集部参考指標4.6以上
50,ビオレ ザ クレンズ オイルメイク落とし,花王,洗顔,editorial,D,insufficient,,,0,,status_unknown,false,false,product_specific_source_missing | ingredient_tag_not_officially_verified,Low,product_specific_official_page | manufacturer_category | content_amount | usage | verified_ingredients | current_status,商品専用メーカー公式ページを調査し、商品状態・仕様・成分タグを確認,10,0,false,10,内部リンク10件
51,CeraVe ハイドレイティングクレンザー,CeraVe,洗顔,editorial,D,insufficient,,,0,,status_unknown,false,false,product_specific_source_missing | ingredient_tag_not_officially_verified,Low,product_specific_official_page | manufacturer_category | content_amount | usage | verified_ingredients | current_status,商品専用メーカー公式ページを調査し、商品状態・仕様・成分タグを確認,10,3,false,22,コラムリンク3件・内部リンク10件
52,専科 パーフェクトホイップ,資生堂,洗顔,editorial,D,insufficient,,,0,,status_unknown,false,false,product_specific_source_missing | ingredient_tag_not_officially_verified,Low,product_specific_official_page | manufacturer_category | content_amount | usage | verified_ingredients | current_status,商品専用メーカー公式ページを調査し、商品状態・仕様・成分タグを確認,15,7,false,35,コラムリンク7件・内部リンク15件
53,Anua ヘチマ70 ポアクレンジングオイル,Anua,洗顔,editorial,D,insufficient,,,0,,status_unknown,false,false,product_specific_source_missing | ingredient_tag_not_officially_verified,Low,product_specific_official_page | manufacturer_category | content_amount | usage | verified_ingredients | current_status,商品専用メーカー公式ページを調査し、商品状態・仕様・成分タグを確認,10,3,false,22,コラムリンク3件・内部リンク10件
54,ロゼット 洗顔パスタ 海泥スムース,ロゼット,洗顔,editorial,D,insufficient,,,0,,status_unknown,false,false,product_specific_source_missing | ingredient_tag_not_officially_verified,Low,product_specific_official_page | manufacturer_category | content_amount | usage | verified_ingredients | current_status,商品専用メーカー公式ページを調査し、商品状態・仕様・成分タグを確認,14,3,false,26,コラムリンク3件・内部リンク14件
55,無印良品 マイルド保湿洗顔フォーム,無印良品,洗顔,editorial,D,insufficient,,,0,,status_unknown,false,false,product_specific_source_missing | ingredient_tag_not_officially_verified,Low,product_specific_official_page | manufacturer_category | content_amount | usage | verified_ingredients | current_status,商品専用メーカー公式ページを調査し、商品状態・仕様・成分タグを確認,10,2,false,18,コラムリンク2件・内部リンク10件
56,ビオレUV アクアリッチ ウォータリーエッセンス,花王,日焼け止め,editorial,A,complete,https://www.kao-kirei.com/ja/item/khg/bioresarasarauv/4901301447647/,official-product,1,2026-08-10,current,false,true,ingredient_tag_not_officially_verified,Low,verified_ingredients,不足項目を公式情報で確認: verified_ingredients,37,6,false,43,コラムリンク6件・内部リンク37件・編集部参考指標4.6以上
57,アネッサ パーフェクトUV スキンケアミルク N,資生堂,日焼け止め,editorial,D,insufficient,,,0,,status_unknown,false,false,product_specific_source_missing | ingredient_tag_not_officially_verified,Low,product_specific_official_page | manufacturer_category | content_amount | usage | verified_ingredients | current_status | spf | pa | uv_water_resistance,商品専用メーカー公式ページを調査し、商品状態・仕様・成分タグを確認,28,1,true,39,ランキング導線あり・コラムリンク1件・内部リンク28件・編集部参考指標4.6以上
58,ラロッシュポゼ UVイデア XL プロテクショントーンアップ,ラロッシュポゼ,日焼け止め,editorial,D,insufficient,,,0,,status_unknown,false,false,product_specific_source_missing | ingredient_tag_not_officially_verified,Low,product_specific_official_page | manufacturer_category | content_amount | usage | verified_ingredients | current_status | spf | pa | uv_water_resistance,商品専用メーカー公式ページを調査し、商品状態・仕様・成分タグを確認,13,3,false,28,コラムリンク3件・内部リンク13件・編集部参考指標4.6以上
59,スキンアクア トーンアップUVエッセンス,ロート製薬,日焼け止め,editorial,D,insufficient,,,0,,status_unknown,false,false,product_specific_source_missing | ingredient_tag_not_officially_verified,Low,product_specific_official_page | manufacturer_category | content_amount | usage | verified_ingredients | current_status | spf | pa | uv_water_resistance,商品専用メーカー公式ページを調査し、商品状態・仕様・成分タグを確認,9,0,false,9,内部リンク9件
60,ニベアUV ディープ プロテクト＆ケア ジェル,ニベア,日焼け止め,editorial,D,insufficient,,,0,,status_unknown,false,false,product_specific_source_missing | ingredient_tag_not_officially_verified,Low,product_specific_official_page | manufacturer_category | content_amount | usage | verified_ingredients | current_status | spf | pa | uv_water_resistance,商品専用メーカー公式ページを調査し、商品状態・仕様・成分タグを確認,10,0,false,10,内部リンク10件
61,イニスフリー トーンアップ ノーセバム サンスクリーン,イニスフリー,日焼け止め,editorial,D,insufficient,,,0,,status_unknown,false,false,product_specific_source_missing | ingredient_tag_not_officially_verified,Low,product_specific_official_page | manufacturer_category | content_amount | usage | verified_ingredients | current_status | spf | pa | uv_water_resistance,商品専用メーカー公式ページを調査し、商品状態・仕様・成分タグを確認,7,0,false,7,内部リンク7件
62,ルルルン プレシャス GREEN（バランス）,ルルルン,パック・マスク,editorial,A,complete,https://lululun.com/shop/products/pg4fb-2111,official-product | official-successor,2,2026-08-10,current,false,true,ingredient_tag_not_officially_verified,Low,verified_ingredients,不足項目を公式情報で確認: verified_ingredients,11,3,false,23,コラムリンク3件・内部リンク11件
63,MEDIHEAL N.M.F アクアリングアンプルマスク,MEDIHEAL,パック・マスク,editorial,D,insufficient,,,0,,status_unknown,false,false,product_specific_source_missing | ingredient_tag_not_officially_verified,Low,product_specific_official_page | manufacturer_category | content_amount | usage | verified_ingredients | current_status,商品専用メーカー公式ページを調査し、商品状態・仕様・成分タグを確認,24,4,false,36,コラムリンク4件・内部リンク24件
64,我的美麗日記（私のきれい日記）黒真珠マスク,我的美麗日記,パック・マスク,editorial,A,complete,https://www.mybeautydiary-jp.com/lineup/blackpearl.html,official-product | official-brand,2,2026-08-10,current,false,true,none,Low,content_amount | usage,"不足項目を公式情報で確認: content_amount, usage",8,0,false,8,内部リンク8件
65,VT シカ デイリースージングマスク,VT Cosmetics,パック・マスク,editorial,D,insufficient,,,0,,status_unknown,false,false,product_specific_source_missing | ingredient_tag_not_officially_verified,Low,product_specific_official_page | manufacturer_category | content_amount | usage | verified_ingredients | current_status,商品専用メーカー公式ページを調査し、商品状態・仕様・成分タグを確認,23,2,false,28,コラムリンク2件・内部リンク23件
66,クオリティファースト ダーマレーザー スーパーVC100マスク,クオリティファースト,パック・マスク,editorial,D,insufficient,,,0,,status_unknown,false,false,product_specific_source_missing | ingredient_tag_not_officially_verified,Low,product_specific_official_page | manufacturer_category | content_amount | usage | verified_ingredients | current_status,商品専用メーカー公式ページを調査し、商品状態・仕様・成分タグを確認,8,0,false,8,内部リンク8件
67,メディキューブ エイジショット ニードルアイクリーム,MEDICUBE,アイケア,editorial,D,insufficient,,,0,,status_unknown,false,false,product_specific_source_missing | ingredient_tag_not_officially_verified,Low,product_specific_official_page | manufacturer_category | content_amount | usage | verified_ingredients | current_status,商品専用メーカー公式ページを調査し、商品状態・仕様・成分タグを確認,23,0,false,20,内部リンク23件
68,アイキララ,北の快適工房,アイケア,editorial,D,insufficient,,,0,,status_unknown,false,false,product_specific_source_missing | ingredient_tag_not_officially_verified,Low,product_specific_official_page | manufacturer_category | content_amount | usage | verified_ingredients | current_status,商品専用メーカー公式ページを調査し、商品状態・仕様・成分タグを確認,7,0,false,7,内部リンク7件
69,ELIXIR つや玉ミスト,資生堂,アイケア,editorial,D,insufficient,,,0,,status_unknown,false,false,product_specific_source_missing | ingredient_tag_not_officially_verified,Low,product_specific_official_page | manufacturer_category | content_amount | usage | verified_ingredients | current_status,商品専用メーカー公式ページを調査し、商品状態・仕様・成分タグを確認,22,0,false,20,内部リンク22件
70,コスメデコルテ モイスチュアリポソーム,コーセー,美容液,editorial,D,insufficient,,,0,,status_unknown,false,false,product_specific_source_missing | ingredient_tag_not_officially_verified,Low,product_specific_official_page | manufacturer_category | content_amount | usage | verified_ingredients | current_status,商品専用メーカー公式ページを調査し、商品状態・仕様・成分タグを確認,9,0,true,24,ランキング導線あり・内部リンク9件・編集部参考指標4.6以上
71,Dr.Jart+ シカペアクリーム,Dr.Jart+,保湿クリーム,editorial,D,insufficient,,,0,,status_unknown,false,false,product_specific_source_missing | ingredient_tag_not_officially_verified,Low,product_specific_official_page | manufacturer_category | content_amount | usage | verified_ingredients | current_status,商品専用メーカー公式ページを調査し、商品状態・仕様・成分タグを確認,7,0,false,7,内部リンク7件
72,KANEBO ザ ファースト セラム,カネボウ,美容液,editorial,D,insufficient,,,0,,status_unknown,false,false,product_specific_source_missing | ingredient_tag_not_officially_verified,Low,product_specific_official_page | manufacturer_category | content_amount | usage | verified_ingredients | current_status,商品専用メーカー公式ページを調査し、商品状態・仕様・成分タグを確認,7,0,false,10,内部リンク7件・編集部参考指標4.6以上
73,ロート製薬 メンソレータム リップ メディケーティッド,ロート製薬,アイケア,editorial,D,insufficient,,,0,,status_unknown,false,false,product_specific_source_missing | ingredient_tag_not_officially_verified,Low,product_specific_official_page | manufacturer_category | content_amount | usage | verified_ingredients | current_status,商品専用メーカー公式ページを調査し、商品状態・仕様・成分タグを確認,6,0,false,6,内部リンク6件
74,クラランス ダブル セーラム EX,クラランス,美容液,editorial,D,insufficient,,,0,,status_unknown,false,false,product_specific_source_missing | ingredient_tag_not_officially_verified,Low,product_specific_official_page | manufacturer_category | content_amount | usage | verified_ingredients | current_status,商品専用メーカー公式ページを調査し、商品状態・仕様・成分タグを確認,8,0,true,23,ランキング導線あり・内部リンク8件・編集部参考指標4.6以上
